#MJD	log(Lx_bol)	log(Lx/L_Edd)	log(L_opt)	log(Lopt/L_Edd)
				
52350.22855	36.01069546875216	-2.8605270880075464	35.15277069060024	-3.718451866159465
				
				
				
				
				
				
				
				
52359.494099999996	36.80233738081726	-2.0688851759424507	35.46077069060024	-3.410451866159465
				
				
				
				
54258.23456	37.25587817016817	-1.6153443865915404	35.35677069060024	-3.5144518661594644
54260.4539	37.2008821496965	-1.6703404070632102	35.48877069060024	-3.3824518661594665
54261.20443	37.20282611033801	-1.668396446421698	35.38477069060024	-3.4864518661594657
54267.2048	37.12507208571371	-1.746150471045996	35.44877069060024	-3.4224518661594656
54268.100055	37.200376736277306	-1.670845820482401	35.42077069060024	-3.4504518661594643
54269.264735	37.16092667425069	-1.7102958825090182	35.504770690600246	-3.366451866159461
				
54273.49944	37.16795024624373	-1.7032723105159802	35.520770690600244	-3.350451866159463
54275.43213	37.159103237274124	-1.7121193194855833	35.46477069060024	-3.4064518661594674
54276.33469	37.663537607534444	-1.2076849492252633	35.508770690600244	-3.3624518661594633
54277.150735	37.18784391310086	-1.6833786436588438	35.468770690600245	-3.4024518661594625
54278.315885	37.22892891290221	-1.6422936438574949	35.51677069060025	-3.3544518661594607
54279.215240000005	37.54993854031208	-1.3212840164476303	35.47677069060024	-3.394451866159467
54280.177410000004	37.916514821753395	-0.9547077350063117	35.504770690600246	-3.366451866159461
54282.200039999996	37.752294444501295	-1.1189281122584118	35.480770690600245	-3.390451866159462
54283.217875	37.31281982768135	-1.558402729078355	35.532770690600245	-3.3384518661594624
54284.110134999995	37.34073352162077	-1.530489035138937	35.48477069060024	-3.3864518661594643
54286.14827	37.370930258209505	-1.5002922985502023	35.452770690600246	-3.4184518661594607
54290.19315000001	37.95790182511029	-0.9133207316494162	35.596770690600245	-3.2744518661594624
54291.285275	37.49867092402619	-1.372551632733514	35.51277069060024	-3.3584518661594656
54292.27689	37.53728717822447	-1.33393537853524	35.56477069060024	-3.306451866159466
54293.314920000004	37.482072842407696	-1.389149714352011	35.520770690600244	-3.350451866159463
54295.376135	37.61934948725461	-1.2518730695050975	35.53677069060024	-3.3344518661594647
				
				
54297.897744999995	37.82271686610369	-1.0485056906560173	35.56477069060024	-3.306451866159466
54299.332324999996	37.59205156665659	-1.2791709901031139	35.556770690600246	-3.3144518661594615
				
				
54301.93499	37.62799041441152	-1.2432321423481862	35.55277069060024	-3.3184518661594664
54303.986655	37.604307603459795	-1.2669149532999127	35.59277069060024	-3.2784518661594673
54305.29106	37.77684540495988	-1.0943771517998284	35.59277069060024	-3.2784518661594673
				
54307.928055	37.66885158064817	-1.2023709761115338	35.65277069060024	-3.218451866159465
54309.157555	37.83298834038338	-1.0382342163763265	35.544770690600245	-3.326451866159462
54311.158095000006	37.825174786580284	-1.046047770179423	35.53677069060024	-3.3344518661594647
				
				
54316.23573	37.672435605359816	-1.1987869513998912	35.52477069060024	-3.346451866159465
				
54318.579385	37.91935962361326	-0.9518629331464464	35.620770690600246	-3.2504518661594615
				
54325.9388	37.685869329986744	-1.1853532267729632	35.62877069060024	-3.242451866159466
				
				
54329.187435	37.6891638231749	-1.1820587335848058	35.60477069060024	-3.266451866159467
				
54331.120039999994	37.87565166970869	-0.995570887051019	35.620770690600246	-3.2504518661594615
54333.164319999996	37.81515329517532	-1.056069261584386	35.60477069060024	-3.266451866159467
				
54335.17632	37.84999027647907	-1.021232280280638	35.57677069060024	-3.2944518661594655
				
54339.1476	37.65468196644747	-1.2165405903122373	35.51277069060024	-3.3584518661594656
				
				
54347.035059999995	37.51995108918745	-1.3512714675722561	35.53677069060024	-3.3344518661594647
				
				
				
				
54353.173635	37.398087677931834	-1.4731348788278735	35.47677069060024	-3.394451866159467
				
				
				
				
				
54360.518145	37.29456911610953	-1.5766534406501787	35.46077069060024	-3.410451866159465
				
				
				
54364.981035000004	37.2359411202979	-1.6352814364618053	35.53677069060024	-3.3344518661594647
54367.001229999994	37.61478287689522	-1.2564396798644877	35.468770690600245	-3.4024518661594625
				
				
				
				
				
54374.978265	37.08858057562962	-1.7826419811300864	35.428770690600246	-3.4424518661594616
54498.055810000005	36.6096331349274	-2.2615894218323076	35.328770690600244	-3.542451866159463
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
54643.46204	37.00761537302807	-1.8636071837316406	35.38477069060024	-3.4864518661594657
54644.482405	36.87412308117851	-1.9970994755811968	35.324770690600246	-3.546451866159461
				
54645.98033	36.777620580693366	-2.093601976066341	35.35677069060024	-3.5144518661594644
54647.38647	37.00005028289726	-1.8711722738624443	35.392770690600244	-3.478451866159463
54648.277799999996	37.03148419494082	-1.8397383618188838	35.392770690600244	-3.478451866159463
				
				
54651.31555	36.99621196006486	-1.875010596694845	35.428770690600246	-3.4424518661594616
				
54652.966015	37.03033689759778	-1.8408856591619296	35.392770690600244	-3.478451866159463
54653.974050000004	37.12248673539454	-1.7487358213651687	35.46077069060024	-3.410451866159465
				
54655.941745000004	37.040873315316865	-1.8303492414428415	35.46477069060024	-3.4064518661594674
				
54658.469425	37.183396854208475	-1.6878257025512324	35.47677069060024	-3.394451866159467
				
				
54661.116615	36.904346034350034	-1.966876522409673	35.42477069060024	-3.4464518661594665
54662.11201	37.09710808545528	-1.7741144713044248	35.468770690600245	-3.4024518661594625
				
				
				
54666.06476	37.21431061305996	-1.6569119436997495	35.440770690600246	-3.430451866159461
54671.047425	37.13459031855861	-1.7366322382010988	35.46077069060024	-3.410451866159465
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
54889.229170000006	37.16861142097335	-1.7026111357863583	35.48877069060024	-3.3824518661594665
54890.197125000006	37.30474296982798	-1.5664795869317298	35.58877069060024	-3.282451866159465
54891.298754999996	37.425564734445786	-1.4456578223139214	35.55277069060024	-3.3184518661594664
54892.220185	37.334836839692755	-1.5363857170669515	35.632770690600246	-3.238451866159461
54894.247025000004	37.58981770293651	-1.2814048538232	35.59277069060024	-3.2784518661594673
54895.655455	37.654402693708924	-1.216819863050783	35.54077069060024	-3.330451866159467
54896.28869	37.633061623464336	-1.2381609332953714	35.572770690600244	-3.2984518661594633
54897.51717	37.841167951246234	-1.030054605513473	35.70877069060025	-3.1624518661594605
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
