#MJD RXTE/ASMcpuntrate(1.5-12keV) +-
54403.377926 1.346000 0.274000 
54404.604855 1.296000 0.418000 
54406.756524 1.343000 0.298000 
54407.626140 1.621000 0.323000 
54409.697946 1.728000 0.286000 
54410.841356 1.749000 0.294000 
54411.741330 2.670000 0.346000 
54412.739392 1.076000 0.282000 
54413.697211 1.304000 0.246000 
54415.670525 1.968000 0.410000 
54416.615291 1.522000 0.220000 
54417.772172 1.446000 0.349000 
54418.788970 1.730000 0.318000 
54419.639096 2.184000 0.322000 
54420.541116 1.158000 0.208000 
54421.605976 1.011000 0.233000 
54422.456346 1.076000 0.232000 
54423.442625 1.140000 0.223000 
54425.504385 1.089000 0.270000 
54427.590267 2.507000 0.547000 
54430.193916 3.287000 0.991000 
54457.596802 5.066000 0.984000 
54479.389931 1.267000 0.419000 
54480.341115 1.724000 0.370000 
54482.221059 6.890000 1.490000 
54487.046804 2.670000 0.634000 
54488.742128 2.512000 0.755000 
54490.192558 1.407000 0.380000 
54493.363955 1.393000 0.354000 
54497.064022 1.905000 0.388000 
54498.414271 1.956000 0.459000 
54500.375639 1.445000 0.341000 
54503.522061 2.116000 0.558000 
54504.373989 1.459000 0.390000 
54508.722058 3.625000 0.702000 
54509.600923 1.470000 0.345000 
54510.515008 1.979000 0.397000 
54511.407949 1.610000 0.347000 
54513.328374 2.503000 0.357000 
54514.506134 2.441000 0.254000 
54515.366215 2.795000 0.322000 
54516.593320 1.069000 0.244000 
54517.656488 2.318000 0.368000 
54518.394394 2.107000 0.203000 
54519.635113 1.813000 0.189000 
54520.571675 1.621000 0.190000 
54521.688101 1.642000 0.288000 
54522.449101 1.731000 0.188000 
54523.545493 1.869000 0.198000 
54524.718740 1.385000 0.367000 
54525.545348 1.942000 0.233000 
54526.483227 1.372000 0.191000 
54527.543231 1.244000 0.363000 
54529.705694 2.968000 0.528000 
54530.620510 2.208000 0.276000 
54531.397325 1.909000 0.416000 
54532.429387 1.903000 0.271000 
54533.440877 1.311000 0.275000 
54534.484028 1.924000 0.324000 
54535.494093 1.388000 0.277000 
54536.554644 1.578000 0.215000 
54537.533378 1.937000 0.247000 
54538.261110 1.497000 0.274000 
54539.744159 1.967000 0.306000 
54540.525636 1.762000 0.202000 
54541.655141 2.000000 0.569000 
54542.376843 1.511000 0.272000 
54543.693182 1.297000 0.311000 
54544.901383 1.289000 0.354000 
54547.860875 1.315000 0.427000 
54548.736719 2.400000 0.358000 
54549.601563 1.940000 0.312000 
54550.664261 1.282000 0.302000 
54551.733780 1.542000 0.343000 
54552.521406 1.333000 0.360000 
54553.420800 1.682000 0.475000 
54554.400478 1.517000 0.283000 
54555.379843 1.884000 0.335000 
54556.344300 1.349000 0.291000 
54557.477106 1.991000 0.281000 
54558.402862 1.252000 0.260000 
54559.505593 1.605000 0.197000 
54561.479367 1.399000 0.240000 
54562.381363 1.939000 0.205000 
54563.350819 2.099000 0.304000 
54564.449322 1.770000 0.216000 
54565.547630 1.351000 0.242000 
54566.464116 1.305000 0.162000 
54567.346923 1.702000 0.335000 
54568.569670 1.087000 0.188000 
54569.392386 1.383000 0.168000 
54570.581610 1.476000 0.169000 
54571.367358 1.538000 0.287000 
54572.547333 1.734000 0.242000 
54573.582319 1.926000 0.275000 
54574.455801 1.804000 0.235000 
54575.411015 1.533000 0.281000 
54576.302746 2.010000 0.209000 
54577.559311 0.974000 0.291000 
54578.513497 1.785000 0.212000 
54579.401066 1.865000 0.424000 
54580.458137 1.569000 0.239000 
54581.387791 1.812000 0.294000 
54582.584453 1.696000 0.228000 
54583.708678 1.849000 0.243000 
54584.561181 1.995000 0.223000 
54585.552211 1.668000 0.253000 
54586.481624 1.588000 0.305000 
54588.518028 1.766000 0.305000 
54589.610484 1.625000 0.391000 
54591.494245 1.160000 0.376000 
54592.541334 2.092000 0.397000 
54593.514992 1.764000 0.398000 
54595.407654 2.218000 0.263000 
54596.742979 2.720000 0.527000 
54597.588269 2.271000 0.454000 
54599.642667 1.552000 0.224000 
54600.544492 1.321000 0.403000 
54601.502996 2.365000 0.295000 
54602.523638 1.961000 0.220000 
54603.749111 1.953000 0.260000 
54604.593866 1.433000 0.267000 
54605.557039 2.612000 0.239000 
54606.588524 1.103000 0.293000 
54607.236580 1.856000 0.300000 
54608.415822 1.312000 0.380000 
54609.578255 1.561000 0.332000 
54611.221850 2.708000 0.351000 
54612.464458 1.811000 0.354000 
54613.476460 1.610000 0.234000 
54614.639200 1.405000 0.304000 
54615.384563 1.827000 0.398000 
54616.437300 1.696000 0.249000 
54617.486518 1.902000 0.468000 
54618.455574 1.418000 0.255000 
54619.533282 1.895000 0.164000 
54620.580142 1.978000 0.309000 
54621.448000 1.801000 0.295000 
54622.431184 2.310000 0.206000 
54623.466040 2.204000 0.205000 
54624.508342 1.797000 0.285000 
54625.527757 1.458000 0.303000 
54626.322288 1.506000 0.367000 
54627.605722 2.034000 0.205000 
54628.569827 2.360000 0.485000 
54629.803836 2.036000 0.221000 
54630.364586 2.023000 0.195000 
54631.572594 2.095000 0.669000 
54632.534751 1.444000 0.378000 
54633.574917 2.000000 0.286000 
54634.561262 1.870000 0.314000 
54635.510327 1.643000 0.356000 
54636.645756 1.668000 0.378000 
54637.798662 2.320000 0.169000 
54639.473490 2.566000 0.403000 
54640.421630 2.571000 0.415000 
54641.519516 2.286000 0.314000 
54642.543845 2.248000 0.569000 
54643.561319 1.902000 0.576000 
54644.433889 2.712000 0.421000 
54645.455552 3.173000 0.423000 
54646.593695 1.608000 0.428000 
54647.402543 3.045000 0.532000 
54649.335640 3.336000 0.584000 
54651.488145 2.071000 0.262000 
54652.494090 2.212000 0.335000 
54653.560324 2.509000 0.387000 
54654.293351 2.059000 0.509000 
54655.511929 2.060000 0.303000 
54656.678933 2.423000 0.312000 
54657.516593 2.347000 0.384000 
54658.506013 3.131000 0.491000 
54659.715008 3.062000 0.444000 
54660.380372 2.163000 0.329000 
54661.532349 2.315000 0.311000 
54662.505023 2.592000 0.218000 
54663.641845 2.339000 0.378000 
54664.319270 3.286000 0.323000 
54665.421726 2.615000 0.315000 
54666.488044 2.331000 0.232000 
54667.432605 2.876000 0.252000 
54668.363573 1.602000 0.368000 
54669.516781 1.983000 0.373000 
54670.547928 2.524000 0.398000 
54671.474361 2.934000 0.303000 
54672.611555 3.260000 0.310000 
54673.802963 2.976000 0.255000 
54674.659102 2.639000 0.540000 
54675.494668 3.350000 0.251000 
54676.554390 2.983000 0.231000 
54677.540184 3.063000 0.304000 
54678.539570 3.303000 0.295000 
54679.599629 2.955000 0.244000 
54680.702374 3.590000 0.239000 
54681.654094 2.975000 0.278000 
54682.473727 2.717000 0.320000 
54683.602501 3.009000 0.284000 
54684.529248 3.342000 0.297000 
54685.803812 3.208000 0.442000 
54686.546540 4.174000 0.375000 
54687.417809 3.852000 0.321000 
54688.320762 2.630000 0.320000 
54689.512701 3.227000 0.470000 
54690.415263 3.116000 0.269000 
54691.510683 2.944000 0.319000 
54692.452625 2.436000 0.328000 
54693.143552 1.976000 0.469000 
54697.486849 3.260000 0.379000 
54698.295861 3.049000 0.379000 
54701.439248 3.251000 0.413000 
54702.627931 2.605000 0.342000 
54703.354028 3.090000 0.597000 
54704.418757 3.638000 0.408000 
54705.441804 3.937000 0.412000 
54706.852265 2.527000 0.634000 
54707.567339 1.777000 0.387000 
54708.493314 3.105000 0.388000 
54709.240322 4.823000 0.710000 
54710.501751 2.505000 0.732000 
54711.478876 2.534000 0.547000 
